group1,group2, meandiff,p-adj,lower,upper,reject
    Bat,     Cat,-29343.633,0.9528,-103069.7103,44382.4443,FALSE
    Bat, Chicken,-30124.865,0.7712,-86434.0866,26184.3566,FALSE
    Bat,     Dog,-24581.1578,0.8902,-77940.1751,28777.8595,FALSE
    Bat,    Goat,-23224.9096,0.9178,-76350.2025,29900.3833,FALSE
    Bat,  Lizard,-30200.9065,0.8021,-88486.4883,28084.6753,FALSE
    Bat,     Pig,-24203.4231,0.9118,-78880.1454,30473.2992,FALSE
    Bat,  Rodent,-20664.0586,0.9619,-74400.7099,33072.5926,FALSE
    Bat,   Sheep,-28992.9879,0.791,-84287.5458,26301.5701,FALSE
    Bat,Squirrel,-27373.076,0.8784,-85658.6578,30912.5058,FALSE
    Cat, Chicken,-781.232,1,-57090.4536,55527.9896,FALSE
    Cat,     Dog,4762.4752,1,-48596.5421,58121.4925,FALSE
    Cat,    Goat,6118.7234,1,-47006.5695,59244.0163,FALSE
    Cat,  Lizard,-857.2735,1,-59142.8553,57428.3083,FALSE
    Cat,     Pig,5140.2099,1,-49536.5124,59816.9322,FALSE
    Cat,  Rodent,8679.5744,0.9999,-45057.0769,62416.2256,FALSE
    Cat,   Sheep,350.6451,1,-54943.9128,55645.2031,FALSE
    Cat,Squirrel,1970.557,1,-56315.0248,60256.1388,FALSE
Chicken,     Dog,5543.7072,0.9991,-18588.8164,29676.2308,FALSE
Chicken,    Goat,6899.9554,0.9942,-16711.2859,30511.1967,FALSE
Chicken,  Lizard,-76.0415,1,-33727.2378,33575.1548,FALSE
Chicken,     Pig,5921.4419,0.9994,-20999.5152,32842.399,FALSE
Chicken,  Rodent,9460.8064,0.9652,-15495.5888,34417.2015,FALSE
Chicken,   Sheep,1131.8771,1,-27022.7337,29286.4879,FALSE
Chicken,Squirrel,2751.789,1,-30899.4073,36402.9853,FALSE
    Dog,    Goat,1356.2482,1,-13939.0778,16651.5742,FALSE
    Dog,  Lizard,-5619.7487,0.9997,-34060.2005,22820.7031,FALSE
    Dog,     Pig,377.7347,1,-19652.0983,20407.5677,FALSE
    Dog,  Rodent,3917.0992,0.9992,-13382.5522,21216.7506,FALSE
    Dog,   Sheep,-4411.8301,0.9997,-26071.4328,17247.7727,FALSE
    Dog,Squirrel,-2791.9182,1,-31232.37,25648.5336,FALSE
   Goat,  Lizard,-6975.9969,0.9983,-34975.4847,21023.4909,FALSE
   Goat,     Pig,-978.5135,1,-20377.1277,18420.1007,FALSE
   Goat,  Rodent,2560.851,1,-14003.8694,19125.5714,FALSE
   Goat,   Sheep,-5768.0783,0.9965,-26845.327,15309.1705,FALSE
   Goat,Squirrel,-4148.1664,1,-32147.6542,23851.3214,FALSE
 Lizard,     Pig,5997.4834,0.9998,-24844.3475,36839.3143,FALSE
 Lizard,  Rodent,9536.8479,0.987,-19605.943,38679.6388,FALSE
 Lizard,   Sheep,1207.9186,1,-30716.4093,33132.2465,FALSE
 Lizard,Squirrel,2827.8305,1,-34035.2081,39690.8691,FALSE
    Pig,  Rodent,3539.3645,0.9999,-17475.8009,24554.5299,FALSE
    Pig,   Sheep,-4789.5648,0.9998,-29518.0429,19938.9133,FALSE
    Pig,Squirrel,-3169.6529,1,-34011.4838,27672.178,FALSE
 Rodent,   Sheep,-8328.9292,0.9708,-30902.838,14244.9795,FALSE
 Rodent,Squirrel,-6709.0174,0.9991,-35851.8083,22433.7735,FALSE
  Sheep,Squirrel,1619.9119,1,-30304.416,33544.2398,FALSE
