family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Parvoviridae,Aleutian mink disease parvovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,8344,0.011645595,11645.59533
Parvoviridae,Amdoparvovirus carnivoran4,Bat,Ondo,Liver,Carnivores,wild,1,7,10,64,8.93E-05,89.3238464
Parvoviridae,Amdoparvovirus carnivoran5,Bat,Ondo,Liver,Carnivores,wild,1,7,10,40,5.58E-05,55.827404
Parvoviridae,Asian badger amdoparvovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,3126,0.004362912,4362.912313
Parvoviridae,Gray fox amdovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,1196,0.001669239,1669.239178
Parvoviridae,Labrador amdoparvovirus 1,Bat,Ondo,Liver,Carnivores,wild,1,7,10,470,0.000655972,655.9719401
Parvoviridae,Labrador amdoparvovirus 2,Bat,Ondo,Liver,Carnivores,wild,1,7,10,3348,0.004672754,4672.753616
Parvoviridae,Megabat bufavirus 1,Bat,Ondo,Liver,Carnivores,wild,1,7,10,141,0.000200007,200.0065868
Parvoviridae,Parvovirinae sp.,Bat,Ondo,Liver,Carnivores,wild,2,7,10,7594,0.010598832,10598.83224
Parvoviridae,Raccoon dog amdovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,2077,0.002898839,2898.838727
Parvoviridae,Skunk amdoparvovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,4124,0.005755804,5755.804323
Parvoviridae,red panda amdoparvovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,195,0.000272159,272.1585945
Parvoviridae,sabeidhel virus 1,Bat,Ondo,Liver,Carnivores,wild,1,7,10,25464,0.036456248,36456.24847
Poxviridae,Yokapox virus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,16,0.000154263,154.2632013
Unclassifed,Bat Middle East Hepe-Astrovirus,Bat,Ondo,Liver,Carnivores,wild,1,7,10,2225,0.003105399,3105.39902
Genomoviridae,Common bean-associated gemycircularvirus,Bat,Ondo,Lung,Carnivores,wild,1,7,10,21,3.11E-05,31.13731258
Genomoviridae,Pacific flying fox faeces associated gemycircularvirus-6,Bat,Ondo,Lung,Carnivores,wild,1,7,10,4,5.93E-06,5.930916682
Parvoviridae,sabeidhel virus 1,Bat,Ondo,Lung,Carnivores,wild,1,7,10,32,5.11E-05,51.1
Poxviridae,Murmansk poxvirus,Bat,Ondo,Lung,Carnivores,wild,1,7,10,4,7.83E-06,7.834074306
Poxviridae,Yokapox virus,Bat,Ondo,Lung,Carnivores,wild,1,7,10,30,5.00E-05,49.96066195
Unclassifed,Bat Middle East Hepe-Astrovirus,Bat,Ondo,Lung,Carnivores,wild,1,7,10,11904,0.021680259,21680.25932
Caliciviridae,Feline calicivirus,Cat,Ebonyi,Swab,Carnivores,domesticated,1,2,2,7105,0.000862621,862.621
Coronaviridae,Bovine coronavirus,Cat,Ondo,Swab,Carnivores,domesticated,5,2,2,14,5.80E-07,0.579814824
Genomoviridae,Chimpanzee gemykibivirus,Cat,Ebonyi,Swab,Carnivores,domesticated,3,2,2,4,4.50E-07,0.449738769
Genomoviridae,Human associated gemykibivirus 2,Cat,Ebonyi,Swab,Carnivores,domesticated,5,2,2,20,2.25E-06,2.248693846
Papillomaviridae,Felis catus papillomavirus,Cat,Ebonyi,Swab,Carnivores,domesticated,1,2,2,57,6.41E-06,6.408777462
Papillomaviridae,Leopardus wiedii papillomavirus type 1,Cat,Ebonyi,Swab,Carnivores,domesticated,1,2,2,24,2.70E-06,2.698432615
Papillomaviridae,Panthera leo persica papillomavirus 1,Cat,Ebonyi,Swab,Carnivores,domesticated,1,2,2,8,8.99E-07,0.899477538
Parvoviridae,Protoparvovirus carnivoran1,Cat,Ebonyi,Swab,Carnivores,domesticated,3,2,2,6,6.75E-07,0.674608154
Picobirnaviridae,Picobirnavirus sp.,Cat,Ebonyi,Swab,Carnivores,domesticated,8,2,2,4683,0.000526532,526.532
Adenoviridae,Bovine adenovirus 3,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,1,3,4,4,2.74E-07,0.27375967
Adenoviridae,Tree shrew adenovirus 1,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,1,3,4,34,2.43E-06,2.43
Astroviridae,Chicken astrovirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,3,3,4,57,1.44E-05,14.38008207
Coronaviridae,Avian coronavirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,4,3,4,120,2.90E-05,29.00027357
Coronaviridae,Duck coronavirus 2714,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,370,0.000100144,100.144
Coronaviridae,Duck-dominant coronavirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,141,3.82E-05,38.2
Coronaviridae,Guinea fowl coronavirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,3,3,4,8,5.11E-07,0.511012968
Coronaviridae,Infectious bronchitis virus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,5,3,4,1235,0.000320933,320.9333843
Genomoviridae,Chicken stool-associated gemycircularvirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,4,3,4,4,2.56E-07,0.255506484
Genomoviridae,crane CRESS-DNA virus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,23,1.47E-06,1.469162284
Hepeviridae,Avian hepatitis E virus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,4,2.56E-07,0.255506484
Hepeviridae,Sichuan orthohepevirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,12,7.67E-07,0.766519452
Mitoviridae,Mitoviridae sp.,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,3,3,4,12,2.90E-06,2.900027357
Mitoviridae,Mitovirus JS3,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,56,1.42E-05,14.23340629
Narnaviridae,Knope narna-like virus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,10,2.42E-06,2.416689464
Orthoherpesviridae,Gallid alphaherpesvirus 1,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,4,2.56E-07,0.255506484
Orthoherpesviridae,Gallid alphaherpesvirus 2,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,4,3,4,208,5.16E-05,51.59203827
Orthoherpesviridae,Gallid alphaherpesvirus 3,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,366,8.85E-05,88.45083439
Orthoherpesviridae,Marek's disease virus serotype 2 MDV2,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,24,5.80E-06,5.800054714
Orthoherpesviridae,Meleagrid alphaherpesvirus 1,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,14,3.38E-06,3.38336525
Orthoherpesviridae,Phasianid herpesvirus 1,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,6,1.45E-06,1.450013678
Paramyxoviridae,peste-des-petits-ruminants virus,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,4,3,4,8,5.48E-07,0.54751934
Parvoviridae,Canine parvovirus,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,6,3,4,8,5.48E-07,0.54751934
Picobirnaviridae,Picobirnavirus sp.,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,8,3,4,935,0.000118839,118.8388746
Picobirnaviridae,Picobirnavirus sp.,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,8,3,4,36,2.51E-06,2.508798351
Picobirnaviridae,Porcine picobirnavirus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,6,3,4,20,1.28E-06,1.277532421
Picornaviridae,Chicken picornavirus 4,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,4,3,4,15,9.58E-07,0.958149315
Picornaviridae,Chicken picornavirus UCC13,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,11,7.03E-07,0.702642831
Picornaviridae,Chicken proventriculitis virus,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,13,8.30E-07,0.830396073
Picornaviridae,Megrivirus sp.,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,5,3,4,341,2.24E-05,22.37894146
