	Chicken	Lizard	Rodent	Squirrel	Bat	Dog	Cat	Pig	Goat	Sheep
Chicken	0.0	559.7	637.9	637.9	637.9	637.9	637.9	637.9	637.9	637.9
Lizard	559.7	0.0	637.9	637.9	637.9	637.9	637.9	637.9	637.9	637.9
Rodent	637.9	637.9	0.0	140.4	188.0	188.0	188.0	188.0	188.0	188.0
Squirrel	637.9	637.9	140.4	0.0	188.0	188.0	188.0	188.0	188.0	188.0
Bat	637.9	637.9	188.0	188.0	0.0	162.1	162.1	162.1	162.1	162.1
Dog	637.9	637.9	188.0	188.0	162.1	0.0	110.7	152.0	152.0	152.0
Cat	637.9	637.9	188.0	188.0	162.1	110.7	0.0	152.0	152.0	152.0
Pig	637.9	637.9	188.0	188.0	162.1	152.0	152.0	0.0	123.7	123.7
Goat	637.9	637.9	188.0	188.0	162.1	152.0	152.0	123.7	0.0	15.3
Sheep	637.9	637.9	188.0	188.0	162.1	152.0	152.0	123.7	15.3	0.0
