"hosts","virus_family","host_feeding","actual_host_sample_size","host_habitat","location","sample_type","virus_species_richness","virus_abundance","host_sample_size"
"Bat","Parvoviridae","Other",10,"wild","Ondo","Tissue",2,30206.254,5
"Cat","Caliciviridae","Other",2,"domesticated","Ebonyi","Non-tissue",1,862.621,3
"Chicken","Adenoviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,2.43,1
"Chicken","Astroviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,5.68,1
"Chicken","Coronaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,440.468,5
"Chicken","Orthoherpesviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,12.2,1
"Chicken","Picobirnaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",2,3.91,2
"Chicken","Picornaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",3,23.646,7
"Dog","Adenoviridae","Other",31,"domesticated","Ebonyi","Non-tissue",1,63.52,20
"Dog","Anelloviridae","Other",31,"domesticated","Ebonyi","Non-tissue",1,210.716,1
"Dog","Anelloviridae","Other",31,"domesticated","Ondo","Non-tissue",1,9.23,1
"Dog","Astroviridae","Other",31,"domesticated","Ebonyi","Non-tissue",3,553.329,8
"Dog","Astroviridae","Other",31,"domesticated","Ondo","Non-tissue",3,24.34,3
"Dog","Caliciviridae","Other",31,"domesticated","Ebonyi","Non-tissue",1,148.99,5
"Dog","Caliciviridae","Other",31,"domesticated","Ondo","Non-tissue",2,11.756,5
"Dog","Circoviridae","Other",31,"domesticated","Ondo","Non-tissue",1,120.498,1
"Dog","Coronaviridae","Other",31,"domesticated","Ebonyi","Non-tissue",1,3.45,1
"Dog","Coronaviridae","Other",31,"domesticated","Ondo","Non-tissue",1,5.45,1
"Dog","Orthoherpesviridae","Other",31,"domesticated","Ondo","Non-tissue",1,173.75,12
"Dog","Papillomaviridae","Other",31,"domesticated","Ebonyi","Non-tissue",3,14990.906,16
"Dog","Papillomaviridae","Other",31,"domesticated","Ondo","Non-tissue",3,154.7,4
"Dog","Parvoviridae","Other",31,"domesticated","Ebonyi","Non-tissue",3,39677.248,6
"Dog","Parvoviridae","Other",31,"domesticated","Ondo","Non-tissue",3,52044.312,20
"Dog","Picobirnaviridae","Other",31,"domesticated","Ebonyi","Non-tissue",2,6.019,2
"Dog","Picobirnaviridae","Other",31,"domesticated","Ondo","Non-tissue",6,1020.189,14
"Dog","Picornaviridae","Other",31,"domesticated","Ebonyi","Non-tissue",11,275.285,17
"Dog","Picornaviridae","Other",31,"domesticated","Ondo","Non-tissue",11,8287.591,20
"Dog","Polyomaviridae","Other",31,"domesticated","Ondo","Non-tissue",1,0.411,1
"Dog","Sedoreoviridae","Other",31,"domesticated","Ondo","Non-tissue",2,345.33,12
"Goat","Adenoviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",4,116.6,20
"Goat","Adenoviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",5,1322.988,66
"Goat","Anelloviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,4.03,1
"Goat","Astroviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",2,75.34,2
"Goat","Astroviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",10,83.348,14
"Goat","Caliciviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",2,1165.277,7
"Goat","Circoviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",2,5.907,2
"Goat","Coronaviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,28006.623,19
"Goat","Coronaviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",2,59065.234,46
"Goat","Orthoherpesviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,55.9,3
"Goat","Orthoherpesviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",2,6.832,6
"Goat","Paramyxoviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,3742.866,9
"Goat","Parvoviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,1352.556,4
"Goat","Parvoviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",4,67.036,8
"Goat","Picobirnaviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",9,2009.909,46
"Goat","Picobirnaviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",12,2391.313,53
"Goat","Picornaviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",9,7129.038,15
"Goat","Picornaviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",15,485.114,31
"Goat","Pneumoviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",1,20.786,5
"Goat","Polyomaviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",1,11.548,3
"Goat","Poxviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,1291.234,114
"Goat","Poxviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",1,27979.32,180
"Goat","Sedoreoviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",3,53.08,12
"Goat","Sedoreoviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",2,66.475,9
"Goat","Tobaniviridae","Herbivore",46,"domesticated","Ebonyi","Non-tissue",1,20026.081,3
"Goat","Tobaniviridae","Herbivore",46,"domesticated","Ondo","Non-tissue",5,24980.519,66
"Lizard","Adintoviridae","Other",3,"peridomesticated","Ebonyi","Tissue",1,5.06,1
"Lizard","Adintoviridae","Other",3,"peridomesticated","Ondo","Tissue",1,2.89,2
"Lizard","Circoviridae","Other",3,"peridomesticated","Ebonyi","Tissue",1,0.86,1
"Lizard","Papillomaviridae","Other",3,"peridomesticated","Ondo","Tissue",3,12.58,3
"Pig","Astroviridae","Other",4,"domesticated","Ebonyi","Non-tissue",7,48643.866,21
"Pig","Circoviridae","Other",4,"domesticated","Ebonyi","Non-tissue",3,36.71,6
"Pig","Orthoherpesviridae","Other",4,"domesticated","Ebonyi","Non-tissue",6,53.586,37
"Pig","Parvoviridae","Other",4,"domesticated","Ebonyi","Non-tissue",3,841.996,11
"Pig","Picobirnaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",6,332.42,15
"Pig","Piconaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,14.6,1
"Pig","Picornaviridae","Other",4,"domesticated","Ebonyi","Non-tissue",7,989.684,16
"Pig","Poxviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,961.33,139
"Pig","Sedoreoviridae","Other",4,"domesticated","Ebonyi","Non-tissue",4,117.474,15
"Pig","Tobaniviridae","Other",4,"domesticated","Ebonyi","Non-tissue",1,8036.643,13
"Rodent","Adenoviridae","Other",105,"peridomesticated","Ebonyi","Tissue",1,16113.127,4
"Rodent","Adintoviridae","Other",105,"peridomesticated","Ondo","Tissue",1,35.2,1
"Rodent","Anelloviridae","Other",105,"peridomesticated","Ondo","Tissue",3,183,3
"Rodent","Arenaviridae","Other",105,"peridomesticated","Ondo","Tissue",1,111766.532,36
"Rodent","Astroviridae","Other",105,"peridomesticated","Ondo","Tissue",5,941.485,10
"Rodent","Circoviridae","Other",105,"peridomesticated","Ebonyi","Tissue",2,5925.432,26
"Rodent","Circoviridae","Other",105,"peridomesticated","Ondo","Tissue",6,2866.091,14
"Rodent","Coronaviridae","Other",105,"peridomesticated","Ondo","Tissue",1,9205.024,17
"Rodent","Nairoviridae","Other",105,"peridomesticated","Ebonyi","Tissue",1,72.824,8
"Rodent","Orthoherpesviridae","Other",105,"peridomesticated","Ondo","Tissue",12,3449.547,86
"Rodent","Papillomaviridae","Other",105,"peridomesticated","Ondo","Tissue",1,39.39,5
"Rodent","Parvoviridae","Other",105,"peridomesticated","Ebonyi","Tissue",2,17.48,2
"Rodent","Parvoviridae","Other",105,"peridomesticated","Ondo","Tissue",2,103.47,15
"Rodent","Picobirnaviridae","Other",105,"peridomesticated","Ondo","Tissue",3,533.085,18
"Rodent","Picornaviridae","Other",105,"peridomesticated","Ondo","Tissue",12,1395.109,18
"Rodent","Sedoreoviridae","Other",105,"peridomesticated","Ondo","Tissue",2,28.33,7
"Sheep","Coronaviridae","Herbivore",11,"domesticated","Ondo","Non-tissue",1,70.102,37
"Sheep","Orthoherpesviridae","Herbivore",11,"domesticated","Ebonyi","Non-tissue",2,31.75,4
"Sheep","Parvoviridae","Herbivore",11,"domesticated","Ebonyi","Non-tissue",1,22,1
"Sheep","Picobirnaviridae","Herbivore",11,"domesticated","Ebonyi","Non-tissue",2,13.01,5
"Sheep","Picobirnaviridae","Herbivore",11,"domesticated","Ondo","Non-tissue",6,107.57,8
"Sheep","Picornaviridae","Herbivore",11,"domesticated","Ondo","Non-tissue",2,292.436,6
"Sheep","Spinareoviridae","Herbivore",11,"domesticated","Ebonyi","Non-tissue",1,0.956,1
"Sheep","Tobaniviridae","Herbivore",11,"domesticated","Ondo","Non-tissue",3,9168.305,10
"Squirrel","Anelloviridae","Other",10,"wild","Ondo","Tissue",2,98.1,2
"Squirrel","Circoviridae","Other",10,"wild","Ondo","Tissue",3,5157.401,3
"Squirrel","Parvoviridae","Other",10,"wild","Ondo","Tissue",8,6063.611,22
"Squirrel","Picornaviridae","Other",10,"wild","Ondo","Tissue",1,13.6,1
