sample	hosts	sample type 	genus 		
AIAMA_LIZ002_OS_S50_673462	Lizard	Oral	Agama		
AINWZLIZARD001_S58_657718	Lizard	Swab	Agama Agama		
SEZONOWISLIZARD001_S36_657719	Lizard	Swab	Agama impalearis		
OD_ZAD_BAT020_LIV_S21_673503	bat		Eidon Helvum		
OD_ZAD_BAT021_LIV_S22_674095	bat		Eidon Helvum		
OD_ZAD_BAT023_LIV_S24_673504	bat		Eidon Helvum		
OD_ZAD_BAT024_LIV_S25_673505	bat		Eidon Helvum		
OD_ZAD_BAT022_LIV_S23	bat		Eidon Helvum		
OD_ZAD_BAT025_LUNG_S26_673506	bat		Eidon Helvum		
OD_ZAD_BAT026_LUNG_S27_673507	bat		Eidon Helvum		
OD_ZAD_BAT027_LUNG_S28_673508	bat		Eidon Helvum		
OD_ZAD_BAT028_LUNG_S29_673509	bat		Eidon Helvum		
OD_ZAD_BAT029_LUNG_S30_673510	bat		Eidon Helvum		
OD_ZAD_CEG031_LIV_S1_673511	Egret		Bubulcus ibis		
OD_ZAD_CEG032_LIV_S2_673512	Egret		Bubulcus ibis		
OD_ZAD_CEG033_LIV_S3_673513	Egret		Bubulcus ibis		
OD_ZAD_CEG034_LIV_S4_673514	Egret		Bubulcus ibis		
OD_ZAD_CEG035_LIV_S5_673515	Egret		Bubulcus ibis		
OD_ZAD_CEG036_LUNG_S6_673516	Egret		Bubulcus ibis		
OD_ZAD_CEG037_LUNG_S7_673517	Egret		Bubulcus ibis		
OD_ZAD_CEG038_LUNG_S8_673518	Egret		Bubulcus ibis		
OD_ZAD_CEG039_LUNG_S9_673615	Egret		Bubulcus ibis		
OD_ZAD_CEG040_LUNG_S10_673616	Egret		Bubulcus ibis		
AIAMAAGR001_LIV_S46_662105			Onychomys torridus	Onychomys	Low
AIAMAR001_LIV_S21_662106			Mastomys coucha	Mastomys	High
AIAMAR002_LIV_S22_662107			Mastomys coucha	Mastomys	High
AIAMAR003_LIV_S23_662108			Mastomys coucha	Mastomys	Medium
AIAMAR004_LIV_S24_1_662161			Mastomys coucha	Mastomys	High
AIAMAR005_LIV_S25_1_662162			Mastomys coucha	Mastomys	High
AIAMAR006_LIV_S26_2_662165			Mastomys coucha	Mastomys	High
AIAMAR007_LIV_S27_2_662166			Mastomys coucha	Mastomys	High
AIAMAR008_LIV_S28_1_662167			Mastomys coucha	Mastomys	High
AIAMAR009_LIV_S29_1_662168			Mastomys coucha	Mastomys	Medium
AIAMAR010_LIV_S30_663038			Mastomys coucha	Mastomys	Medium
AIAMAR011_LIV_S31_663039			Mastomys coucha	Mastomys	Medium
AIAMAR012_LIV_S32_663040			Mastomys coucha	Mastomys	Medium
AIAMAR013_LIV_S33_663041			Mastomys coucha	Mastomys	Medium
AIAMAR014_LIV_S34_663042			Mastomys coucha	Mastomys	Medium
AIAMAR015_LIV_S35_663046			Mastomys coucha	Mastomys	Medium
AIAMAR016_LIV_S36_663047			Mastomys coucha	Mastomys	Medium
AIAMAR017_LIV_S37_663048			Mastomys coucha	Mastomys	High
AIAMAR018_LIV_S38_663049			Mastomys coucha	Mastomys	High
AIAMAR019_LIV_S39_663050			Mastomys coucha	Mastomys	Medium
AIAMAR020_LIV_S40_663051			Mastomys coucha	Mastomys	Medium
AIMGBR021_LIV_S41_663052			Mastomys coucha	Mastomys	Medium
AIMGBR022_LIV_S42_663077			Mastomys coucha	Mastomys	High
AIMGBR023_LIV_S43_662128			Mastomys coucha	Mastomys	High
AIMGBR024_LIV_S44_662129			Mastomys coucha	Mastomys	High
AINWZAGR001_LIV_S45_662130			Jaculus jaculus	Jaculus	Low
AINWZR001_LIV_S1_662131			Mastomys coucha	Mastomys	High
AINWZR002_LIV_S2_662132			Mastomys coucha	Mastomys	Medium
AINWZR003_LIV_S3_662133			Mastomys coucha	Mastomys	High
AINWZR004_LIV_S4_662134			Mastomys coucha	Mastomys	Medium
AINWZR005_LIV_S5_663064			Mastomys coucha	Mastomys	Medium
AINWZR006_LIV_S6_663065			Mastomys coucha	Mastomys	High
AINWZR007_LIV_S7_663066			Mastomys coucha	Mastomys	Medium
AINWZR008_LIV_S8_663067			Mastomys coucha	Mastomys	Medium
AINWZR009_LIV_S9_663068			Mastomys coucha	Mastomys	High
AINWZR010_LIV_S10_663069			Mastomys coucha	Mastomys	Medium
AINWZR011_LIV_S11_663070			Mastomys coucha	Mastomys	Medium
AINWZR012_LIV_S12_663071			Mastomys coucha	Mastomys	Medium
AINWZR013_LIV_S13_663072			Mastomys coucha	Mastomys	High
AINWZR014_LIV_S14_663073			Mastomys coucha	Mastomys	High
AINWZR015_LIV_S15_663078			Mastomys coucha	Mastomys	Medium
AINWZR016_LIV_S16_663079			Mastomys coucha	Mastomys	Medium
AINWZR017_LIV_S17_663080			Mastomys coucha	Mastomys	Medium
AINWZR018_LIV_S18_663081			Mastomys coucha	Mastomys	High
AINWZR019_LIV_S19_663082			Rattus rattus	Rattus	Low
AINWZR020_LIV_S20_663083			Suncus etruscus	Suncus	Medium
OD_ZAD_AGR001_LIV_S31_673484			Peromyscus eremicus	Peromyscus	Medium
OD_ZAD_AGR002_LIV_S32_673485			Acomys russatus	Acomys	Medium
OD_ZAD_AGR004_LIV_S34_673490			Cricetomys gambianus	Cricetomys	Medium
OD_ZAD_AGR005_LIV_S35_673488			Acomys russatus	Acomys	Low
OD_ZAD_AGR006_LUNG_S36_673489			Cricetomys gambianus	Cricetomys	Medium
OD_ZAD_AGR007_LUNG_S52_673492			Mus musculus	Gallus	High
OD_ZAD_AGR008_LUNG_S53_673493			Mus musculus	Pogona	High
