S/N,NewIDseqName,oldIDseqName,ska_genus,ska_species,collected_by,sample_type,nucleotide_type,collection_lat,collection_long,collection_date
111,OD_ZAD_BAT020_LIV_S21_673503,OD_ZAD_BAT020_LIV_S21,Bat,Bat,Ondo,Liver,RNA,6.9149,5.147,10/08/2024
112,OD_ZAD_BAT021_LIV_S22_674095,OD_ZAD_BAT021_LIV_S22,Bat,Bat,Ondo,Liver,RNA,6.9149,5.147,10/08/2024
113,OD_ZAD_BAT023_LIV_S24_673504,OD_ZAD_BAT023_LIV_S24,Bat,Bat,Ondo,Liver,RNA,6.9149,5.147,10/08/2024
114,OD_ZAD_BAT024_LIV_S25_673505,OD_ZAD_BAT024_LIV_S25,Bat,Bat,Ondo,Liver,RNA,6.9149,5.147,01/09/2024
1111,OD_ZAD_BAT022_LIV_S23,OD_ZAD_BAT022_LIV_S23,Bat,Bat,Ondo,Liver,RNA,6.9149,5.147,
115,OD_ZAD_BAT025_LUNG_S26_673506,OD_ZAD_BAT025_LUNG_S26,Bat,Bat,Ondo,Lung,RNA,6.9149,5.147,01/09/2024
116,OD_ZAD_BAT026_LUNG_S27_673507,OD_ZAD_BAT026_LUNG_S27,Bat,Bat,Ondo,Lung,RNA,6.9149,5.147,01/09/2024
117,OD_ZAD_BAT027_LUNG_S28_673508,OD_ZAD_BAT027_LUNG_S28,Bat,Bat,Ondo,Lung,RNA,6.9149,5.147,01/09/2024
118,OD_ZAD_BAT028_LUNG_S29_673509,OD_ZAD_BAT028_LUNG_S29,Bat,Bat,Ondo,Lung,RNA,6.9149,5.147,01/09/2024
119,OD_ZAD_BAT029_LUNG_S30_673510,OD_ZAD_BAT029_LUNG_S30,Bat,Bat,Ondo,Lung,RNA,6.9149,5.147,01/09/2024
10,AIAMACAT001_S69_657769,AIAMACAT001,Feline,Cat,Ebonyi,Swab,RNA,6.2649,8.0137,12/04/2017
164,SEZONOWIFCAT001_S34_657717,SEZONOWIFCAT001,Feline,Cat,Ondo,Swab,RNA,6.9149,5.147,29/03/2022
63,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001,Avian,Chicken,Ebonyi,Rectal,RNA,6.2649,8.0137,12/05/2016
64,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002,Avian,Chicken,Ebonyi,Rectal,RNA,6.2649,8.0137,25/12/2016
52,AINWZ_CHK003_CS_S49_673471,AINWZ_CHK003_CS_S49,Avian,Chicken,Ebonyi,Rectal,RNA,6.2649,8.0137,01/09/2024
234,SEZOOWOGCHICKEN001_S35_655749,SEZOOWOGCHICKEN001,Avian,Chicken,Ondo,Rectal,RNA,6.9149,5.147,21/03/2022
