sample	all reads	contigs	Viruses	Viral via co-occurrence	dark contigs	Eukaryota	Metazoa	Bacteria	Ambiguous	Archaea	unassembled
all	2353221481	115217223	17422529	154340	0	19941691	4373277	77399804	201297	251902	2238004258
AIAMA_SHP004_OS_S46_673464	16864636	1238761	61	0	0	1146321	6891	92364	0	15	15625875
AIAMAGOAT001_S48_656109	21170019	603924	99007	0	0	108507	6170	396127	261	22	20566095
AINWZR001_LIV_S1_662131	1077759	32143	1670	0	0	21231	21148	9144	94	4	1045616
AINWZDOG003_S39_657736	6734727	1768452	70395	0	0	240741	90105	1457280	8	28	4966275
AINWZR011_LIV_S11_663070	6327146	22654	3818	0	0	5478	5409	13317	41	0	6304492
SEZONOWIFSHEEP002_S31_656083	13742964	1536770	1986	0	0	179204	82075	1355580	0	0	12206194
OD_ZAD_BAT024_LIV_S25_673505	694641	59265	59142	0	0	16	16	27	80	0	635376
AIAMAR006_LIV_S26_2_662165	1590298	50921	1788	0	0	38974	38312	9128	1031	0	1539377
AIAMAR010_LIV_S30_663038	3709175	52488	2640	103	0	22370	22047	26023	1455	0	3656687
OD_ZAD_CEG033_LIV_S3_673513	11620461	906	22	0	0	107	107	777	0	0	11619555
SEZONOWOWISR088_LIV_S69_666424	3224598	789	789	789	0	0	0	0	0	0	3223809
AINWZR020_LIV_S20_663083	15460045	91411	14302	0	0	2584	601	50220	24305	0	15368634
AIMASHEEP003_S55_656080	12267795	1448452	13081	0	0	829351	48221	604647	140	1233	10819343
AIAMAR020_LIV_S40_663051	4604685	20249	1237	0	0	5402	5346	13530	80	0	4584436
AIAMA_GOT006_RS_S44_673460	15652675	1001771	49599	0	0	151825	35236	800328	13	6	14650904
SEZONOWIFRR068_LUNG_S59_673525	302584	4639	812	0	0	58	0	3769	0	0	297945
OD_ZAD_SQL027_LUNG_S17_673623	2412201	42306	7694	0	0	20445	587	14153	14	0	2369895
SEZOOWOGDOG003_S17_657755	13898644	4237	4237	4237	0	0	0	0	0	0	13894407
AINWZR019_LIV_S19_663082	95376	2658	2544	0	0	4	0	110	0	0	92718
SEZOOWISDOG003_S11_657754	8083028	1080	1080	1080	0	0	0	0	0	0	8081948
OD_ZAD_BAT021_LIV_S22_674095	59688	101	50	0	0	47	0	4	0	0	59587
SEZONOWISDOGOO1_S19_657744	12574249	1727816	108976	0	0	237059	60762	1381759	0	22	10846433
AIAMAPIG002_S64_657714	21978538	1641317	37762	0	0	350210	50217	1252922	4	419	20337221
SEZONOWIFRR066_LUNG_S57_673523	4862402	65891	4607	0	0	41923	3969	18563	738	60	4796511
SEZONOWOWISR002_LIV_S63_666416	5315046	498	498	498	0	0	0	0	0	0	5314548
SENONOWISUGOT001_OS_S80_673658	19906030	858359	109467	0	0	255818	29668	488873	200	4001	19047671
SEZONOWIFGOAT007_S68_657731	23166866	842991	116661	0	0	77473	41654	646090	2051	716	22323875
AIAMAR004_LIV_S24_1_662161	1473630	45607	840	66	0	33795	33531	10914	11	47	1428023
AIAMAR016_LIV_S36_663047	3480601	67828	3040	0	0	44964	43125	18900	924	0	3412773
AINWZ_DOG005_OS_S41_673473	6470234	875987	351975	0	0	71490	36061	450406	269	1847	5594247
AIMGLGOAT001_S60_656113	13710061	1101098	86464	0	0	49119	13051	964801	86	628	12608963
SEZOOWOGDOG005_S15_657756	15000484	3790	3790	3790	0	0	0	0	0	0	14996694
AIAMAR008_LIV_S28_1_662167	2363616	56001	2184	0	0	34210	34133	19139	468	0	2307615
AIAMAR009_LIV_S29_1_662168	6076574	29586	1931	0	0	10459	9289	16623	573	0	6046988
OD_ZAD_CEG039_LUNG_S9_673615	19158575	8655	6	0	0	25	0	8624	0	0	19149920
SEZ_ON_OWIS_R003_S81_687909	2418226	513	513	513	0	0	0	0	0	0	2417713
SEZOOWOGDOG019_S9_1_657762	15804164	3301	3301	3301	0	0	0	0	0	0	15800863
AIAMAGOAT004_S51_656112	23431794	1139160	85542	0	0	76688	27756	976650	226	54	22292634
AINWZR002_LIV_S2_662132	3789386	22476	3415	0	0	6577	6459	10790	1694	0	3766910
OD_ZAD_BAT029_LUNG_S30_673510	521349	2970	2317	0	0	18	18	635	0	0	518379
AINWZDOG002_S38_657735	194725	127553	608	0	0	22718	15109	104227	0	0	67172
