family,sample,contig_name,contig_length,read_count,identity,sci_name,sampletype,ska_species,collected_by,idseq_nonhost_reads,nonhost_reads,total_reads,read_prop,domestication_status,RPM,sample_size_Ebonyi,sample_size_Ondo,sample_size_total,Feeding
Parvoviridae,OD_ZAD_BAT024_LIV_S25_673505,OD_ZAD_BAT024_LIV_S25_673505_NODE_53_length_804_cov_2.632737,804,33,92.2,Megabat bufavirus 1,Tissue,Bat,Ondo,716494,694641,23131982,4.75E-05,wild,47.5,0,10,10,Other
Parvoviridae,OD_ZAD_BAT024_LIV_S25_673505,OD_ZAD_BAT024_LIV_S25_673505_NODE_159_length_583_cov_4.976285,583,40,82,Megabat bufavirus 1,Tissue,Bat,Ondo,716494,694641,23131982,5.76E-05,wild,57.6,0,10,10,Other
Parvoviridae,OD_ZAD_BAT024_LIV_S25_673505,OD_ZAD_BAT024_LIV_S25_673505_NODE_1_length_4647_cov_193.212691,4647,7575,91.6,sabeidhel virus 1,Tissue,Bat,Ondo,716494,694641,23131982,0.010904913,wild,10904.913,0,10,10,Other
Parvoviridae,OD_ZAD_BAT024_LIV_S25_673505,OD_ZAD_BAT024_LIV_S25_673505_NODE_95_length_679_cov_1721.164452,679,13299,77.6,sabeidhel virus 1,Tissue,Bat,Ondo,716494,694641,23131982,0.019145141,wild,19145.141,0,10,10,Other
Parvoviridae,OD_ZAD_BAT025_LUNG_S26_673506,OD_ZAD_BAT025_LUNG_S26_673506_NODE_165_length_519_cov_4.420814,519,32,100,sabeidhel virus 1,Tissue,Bat,Ondo,647632,626125,20589056,5.11E-05,wild,51.1,0,10,10,Other
Caliciviridae,AIAMACAT001_S69_657769,AIAMACAT001_S69_657769_NODE_22_length_2473_cov_34.282137,2473,1826,93.3,Feline calicivirus,Non-tissue,Cat,Ebonyi,8894052,8236524,30417916,0.000221695,domesticated,221.695,1,1,2,Other
Caliciviridae,AIAMACAT001_S69_657769,AIAMACAT001_S69_657769_NODE_27_length_2271_cov_67.546490,2271,3125,90.3,Feline calicivirus,Non-tissue,Cat,Ebonyi,8894052,8236524,30417916,0.000379408,domesticated,379.408,1,1,2,Other
Caliciviridae,AIAMACAT001_S69_657769,AIAMACAT001_S69_657769_NODE_173_length_926_cov_99.355713,926,2154,87.9,Feline calicivirus,Non-tissue,Cat,Ebonyi,8894052,8236524,30417916,0.000261518,domesticated,261.518,1,1,2,Other
Astroviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_158_length_660_cov_1.747856,660,21,94.9,Chicken astrovirus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,5.68E-06,domesticated,5.68,3,1,4,Other
Orthoherpesviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_51_length_1419_cov_1.562593,1419,45,49.3,Gallid alphaherpesvirus 2,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,1.22E-05,domesticated,12.2,3,1,4,Other
Coronaviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_116_length_829_cov_21.753989,829,370,91.3,Infectious bronchitis virus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,0.000100144,domesticated,100.144,3,1,4,Other
Coronaviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_121_length_807_cov_25.472603,807,432,83.4,Infectious bronchitis virus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,0.000116924,domesticated,116.924,3,1,4,Other
Coronaviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_134_length_738_cov_9.397882,738,141,88.5,Infectious bronchitis virus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,3.82E-05,domesticated,38.2,3,1,4,Other
Coronaviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_150_length_689_cov_21.331699,689,342,94.3,Infectious bronchitis virus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,9.26E-05,domesticated,92.6,3,1,4,Other
Coronaviridae,AINWZCHICKEN002_S57_655748,AINWZCHICKEN002_S57_655748_NODE_150_length_689_cov_21.331699,689,342,94.3,Infectious bronchitis virus,Non-tissue,Chicken,Ebonyi,4137892,3694692,53532728,9.26E-05,domesticated,92.6,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_153_length_1117_cov_1.718269,1117,46,98.3,megrivirus C2,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,3.03E-06,domesticated,3.03,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_34_length_2155_cov_2.281521,2155,129,99.1,Megrivirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,8.50E-06,domesticated,8.5,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_97_length_1347_cov_1.412598,1347,38,98.2,Megrivirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,2.50E-06,domesticated,2.5,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_163_length_1085_cov_1.255952,1085,34,98.2,Megrivirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,2.24E-06,domesticated,2.24,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_172_length_1046_cov_1.980392,1046,63,96.7,Megrivirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,4.15E-06,domesticated,4.15,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_345_length_714_cov_3.007849,714,36,99.6,Megrivirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,2.37E-06,domesticated,2.37,3,1,4,Other
Picobirnaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_1083_length_505_cov_5.245327,505,42,75.3,Picobirnaviridae sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,2.77E-06,domesticated,2.77,3,1,4,Other
Picobirnaviridae,AINWZ_CHK003_CS_S49_673471,AINWZ_CHK003_CS_S49_673471_NODE_2228_length_523_cov_1.432735,523,16,75.5,Picobirnavirus sp.,Non-tissue,Chicken,Ebonyi,14611356,14018856,26686596,1.14E-06,domesticated,1.14,3,1,4,Other
Picornaviridae,AINWZCHICKEN001_S56_655747,AINWZCHICKEN001_S56_655747_NODE_326_length_727_cov_1.273846,727,13,99.5,Picobirnavirus sp.,Non-tissue,Chicken,Ebonyi,15655180,15180686,47222582,8.56E-07,domesticated,0.856,3,1,4,Other
Adenoviridae,AINWZ_CHK003_CS_S49_673471,AINWZ_CHK003_CS_S49_673471_NODE_2105_length_533_cov_1.388158,533,34,74.6,Tree shrew adenovirus 1,Non-tissue,Chicken,Ebonyi,14611356,14018856,26686596,2.43E-06,domesticated,2.43,3,1,4,Other
Parvoviridae,AINWZDOG002_S38_657735,AINWZDOG002_S38_657735_NODE_120_length_599_cov_1.952107,599,15,99.5,Adeno-associated virus,Non-tissue,Dog,Ebonyi,201828,163763,27237758,9.16E-05,domesticated,91.6,9,22,31,Other
Picornaviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_282_length_654_cov_2.620451,654,31,86.1,aichivirus A6,Non-tissue,Dog,Ondo,1631558,1192271,18909772,2.60E-05,domesticated,26,9,22,31,Other
