sample,contig_name,contig_length,read_count,nr,nt_or_nr,bitscore,align_length,taxon_group_blast,tax_id,identity,sci_name,com_names,lca_taxid,lca_taxid.1,lca_name,common_nr,phylum,family,chordata,blasted,cluster,taxid_curated,poly_group,name,provisional_name,segment,curated,rdrp,taxon_group,taxid,ska_genus,ska_species,collected_by,idseq_nonhost_reads,hex_read_count,contaminating_and_hex_reads,nonhost_reads,total_reads,read_prop,identity_qcov,group,baltimore_group,genome_description,number_of_segments_conventional
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_161_length_1530_cov_1.736407,1530,55,TRUE,nr,321,194,Viruses,2831612,80.4,Ackermannviridae sp.,DAO36200.1 MAG TPA: tail sheath protein [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,21612,2831612,133,TBD,Ondo-Ackermannviridae sp.,DNA,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,2.73E-06,,Virus,I,double stranded DNA,1
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_191_length_1376_cov_2.114704,1376,51,TRUE,nr,758,457,Viruses,2831612,77.2,Ackermannviridae sp.,DAO36249.1 MAG TPA: hypothetical protein [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,26779,2831612,133,TBD,Ondo-Ackermannviridae sp.,hypothetical,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,2.53E-06,,Virus,I,double stranded DNA,1
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_266_length_1148_cov_1.256769,1148,22,TRUE,nr,584,345,Viruses,2831612,83.5,Ackermannviridae sp.,DAO36203.1 MAG TPA: Terminase [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,38994,2831612,133,TBD,Ondo-Ackermannviridae sp.,DNA,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,1.09E-06,,Virus,I,double stranded DNA,1
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_718_length_708_cov_1.370840,708,22,TRUE,nr,429,235,Viruses,2831612,90.2,Ackermannviridae sp.,DAO36201.1 MAG TPA: major capsid protein [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,113646,2831612,132,Ackermannviridae sp.,Ondo-Husavirus sp.,Capsid,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,1.09E-06,,Virus,I,double stranded DNA,1
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_730_length_700_cov_2.268058,700,21,TRUE,nr,347,204,Viruses,2831612,78.9,Ackermannviridae sp.,DAO36203.1 MAG TPA: Terminase [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,116957,2831612,133,TBD,Ondo-Ackermannviridae sp.,DNA,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,1.04E-06,,Virus,I,double stranded DNA,1
SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_778_length_660_cov_1.036021,660,16,TRUE,nr,130,147,Viruses,1930509,43.5,Husavirus sp.,"AWU65947.1 MAG: polyprotein, partial [Husavirus sp.]",,,,TRUE,Pisuviricota,Ackermannviridae,FALSE,TRUE,136158,2831612,132,Ackermannviridae sp.,Ondo-Husavirus sp.,RNA1,TRUE,FALSE,Viruses,2831612,Caprine,Goat,Ondo,17713900,41609,337050,17376850,27451908,9.21E-07,,Virus,I,double stranded DNA,1
SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_917_length_639_cov_1.928826,639,18,TRUE,nr,281,162,Viruses,2831612,85.2,Ackermannviridae sp.,DAO36256.1 MAG TPA: hypothetical protein [Ackermannviridae sp.],,,,TRUE,Uroviricota,Ackermannviridae,FALSE,TRUE,148637,2831612,133,TBD,Ondo-Ackermannviridae sp.,hypothetical,TRUE,FALSE,Viruses,2831612,Canine,Dog,Ondo,20362306,945,188412,20173894,35701688,8.92E-07,,Virus,I,double stranded DNA,1
SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_468_length_587_cov_1.143137,587,8,TRUE,nr,156,168,Viruses,3084914,51.2,Wufeng rodent picorna-like virus 2,WPV63497.1 MAG: capsid protein [Wufeng rodent picorna-like virus 2],,,,TRUE,Pisuviricota,Ackermannviridae,FALSE,TRUE,189199,2831612,133,TBD,Ondo-Ackermannviridae sp.,hypothetical,TRUE,FALSE,Viruses,2831612,Caprine,Goat,Ondo,21656736,244074,316763,21339973,42621040,3.75E-07,,Virus,I,double stranded DNA,1
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,17713,3855,TRUE,nr,2667,1306,Viruses,190064,99.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,28282,178,Fowl aviadenovirus 2,,hypothetical,TRUE,FALSE,Viruses,28282,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.000120149,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,17713,3855,TRUE,nr,2667,1306,Viruses,190064,99.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,DNA_pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.000120149,,Virus,I,double stranded DNA,
