sample,contig_name,name,ska_species,collected_by,family,read_count,sample_type,identity
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_289_length_1072_cov_1.904523,Abak Human adenovirus,Dog,Ebonyi,Adenoviridae,32,Swab,82.4
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_894_length_547_cov_1.597872,Abak Human adenovirus,Dog,Ebonyi,Adenoviridae,17,Swab,78.1
AINWZR019_LIV_S19_663082,AINWZR019_LIV_S19_663082_NODE_14_length_697_cov_18.930645,Abak Murine adenovirus,Rodent,Ebonyi ,Adenoviridae,201,Liver,70.4
AINWZ_CHK003_CS_S49_673471,AINWZ_CHK003_CS_S49_673471_NODE_2105_length_533_cov_1.388158,Abak Tree shrew adenovirus,Chicken,Ebonyi ,Adenoviridae,34,Rectal,74.6
SENONOWISUGOT006_OS_S73_673663,SENONOWISUGOT006_OS_S73_673663_NODE_683_length_535_cov_1.456332,Bovine adenovirus,Goat,Ondo,Adenoviridae,12,Oral,96.1
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_9_length_5476_cov_12.848120,Fowl adenovirus,Goat,Ondo,Adenoviridae,1826,Rectal,100
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_8_length_4483_cov_4.898547,Fowl adenovirus,Goat,Ondo,Adenoviridae,560,Rectal,100
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_243_length_819_cov_4.266846,Fowl adenovirus,Goat,Ondo,Adenoviridae,68,Rectal,100
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_4_length_4821_cov_6.293423,Fowl adenovirus,Goat,Ondo,Adenoviridae,709,Rectal,99.6
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_509_length_834_cov_1.779392,Fowl adenovirus,Goat,Ondo,Adenoviridae,29,Swab,99.5
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_943_length_596_cov_1.776493,Fowl adenovirus,Goat,Ondo,Adenoviridae,19,Swab,99
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_34_length_2551_cov_4.131366,Fowl adenovirus,Goat,Ondo,Adenoviridae,250,Rectal,98.9
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_3_length_10793_cov_14.136618,Fowl adenovirus,Goat,Ondo,Adenoviridae,3822,Rectal,98.2
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_237_length_1237_cov_1.209483,Fowl adenovirus,Goat,Ondo,Adenoviridae,35,Swab,97.6
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_318_length_1059_cov_1.727088,Fowl adenovirus,Goat,Ondo,Adenoviridae,31,Swab,95.8
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_140_length_1184_cov_2.201445,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,72,Rectal,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_517_length_827_cov_1.416000,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,26,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_540_length_806_cov_0.901235,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_540_length_806_cov_0.901235,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_760_length_670_cov_1.231029,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,15,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_760_length_670_cov_1.231029,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,15,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_760_length_670_cov_1.231029,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,15,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_760_length_670_cov_1.231029,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,15,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_1008_length_576_cov_1.482966,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_1008_length_576_cov_1.482966,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_1008_length_576_cov_1.482966,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_1008_length_576_cov_1.482966,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,16,Swab,100
